district_id,district_name,latitude,longitude,date,tempmax,tempmin,temp,humidity,precip,windspeed,sealevelpressure,solarradiation,pm2p5,pm10,AOD
1,Bangalore,12.9716,77.5946,2023-02-13,31.0,14.5,23.5,43.9,0.0,21.9,1018.3,284.9,31.0,45.0,0.15390489
1,Bangalore,12.9716,77.5946,2023-02-14,31.0,14.9,23.3,43.6,0.0,14.5,1017.9,289.3,31.0,45.0,0.189564803
1,Bangalore,12.9716,77.5946,2023-02-15,31.6,15.0,23.4,47.7,0.0,22.1,1016.5,289.4,31.0,45.0,0.147672459
1,Bangalore,12.9716,77.5946,2023-02-16,31.0,14.2,23.4,47.9,0.0,22.4,1016.4,291.2,31.0,45.0,0.186899516
1,Bangalore,12.9716,77.5946,2023-02-17,30.0,15.9,23.4,48.2,0.0,22.1,1017.2,292.0,31.0,45.0,0.190261533
1,Bangalore,12.9716,77.5946,2023-02-18,30.8,16.5,23.5,50.3,0.0,18.3,1017.3,288.2,31.0,45.0,0.261358102
1,Bangalore,12.9716,77.5946,2023-02-19,30.3,16.0,23.5,56.3,0.0,13.1,1017.4,285.5,31.0,45.0,0.334101871
1,Bangalore,12.9716,77.5946,2023-02-20,30.9,16.5,23.2,59.9,0.0,12.9,1017.7,288.0,31.0,45.0,0.294903873
1,Bangalore,12.9716,77.5946,2023-02-21,31.0,16.9,24.0,45.9,0.0,14.5,1018.0,293.9,31.0,45.0,0.286333605
1,Bangalore,12.9716,77.5946,2023-02-22,30.9,16.9,24.1,48.4,0.0,16.6,1017.5,295.6,31.0,45.0,0.316472651
1,Bangalore,12.9716,77.5946,2023-02-23,30.8,16.0,23.4,42.0,0.0,22.3,1017.3,302.7,27.0,39.0,0.369006566
1,Bangalore,12.9716,77.5946,2023-02-24,31.8,14.8,23.1,44.9,0.0,16.6,1018.0,304.5,23.0,34.0,0.225269717
1,Bangalore,12.9716,77.5946,2023-02-25,32.0,13.9,23.9,40.8,0.0,22.2,1019.6,303.1,22.0,32.0,0.277118368
1,Bangalore,12.9716,77.5946,2023-02-26,38.5,15.5,23.9,38.1,0.0,20.6,1020.6,303.5,25.0,36.0,0.315905472
1,Bangalore,12.9716,77.5946,2023-02-27,30.0,14.9,22.7,45.4,0.0,20.6,1020.7,305.6,21.0,32.0,0.35151102
1,Bangalore,12.9716,77.5946,2023-02-28,30.0,15.0,22.8,51.2,0.0,25.5,1020.4,280.6,26.0,39.0,0.465516315
1,Bangalore,12.9716,77.5946,2023-03-01,29.8,17.0,23.8,59.2,0.0,24.0,1020.4,265.4,29.0,43.0,0.348956561
1,Bangalore,12.9716,77.5946,2023-03-02,29.0,16.0,23.0,46.9,0.0,31.6,1021.1,303.0,22.0,33.0,0.456024944
1,Bangalore,12.9716,77.5946,2023-03-03,30.8,14.0,23.1,36.2,0.0,27.8,1021.5,305.6,27.0,39.0,0.381115292
1,Bangalore,12.9716,77.5946,2023-03-04,32.0,15.5,23.7,34.4,0.0,27.6,1021.3,305.3,23.0,34.0,0.58503215
1,Bangalore,12.9716,77.5946,2023-03-05,31.6,16.9,24.1,40.1,0.0,29.1,1020.8,303.1,27.0,39.0,0.359774161
1,Bangalore,12.9716,77.5946,2023-03-06,31.3,15.9,23.9,42.2,0.0,31.4,1019.5,306.7,20.0,29.0,0.449817917
1,Bangalore,12.9716,77.5946,2023-03-07,30.9,15.0,23.7,41.9,0.0,25.8,1018.6,262.4,23.0,34.0,0.758169499
1,Bangalore,12.9716,77.5946,2023-03-08,30.0,17.0,23.6,51.1,0.0,31.3,1018.3,305.9,23.0,34.0,0.335358491
1,Bangalore,12.9716,77.5946,2023-03-09,29.1,16.0,23.2,51.0,0.0,22.2,1018.0,276.6,31.0,46.0,0.646853202
1,Bangalore,12.9716,77.5946,2023-03-10,29.8,16.0,23.4,51.3,0.0,25.9,1017.5,276.0,30.0,44.0,0.462799788
1,Bangalore,12.9716,77.5946,2023-03-11,30.3,15.0,23.7,51.6,0.0,22.3,1017.5,311.0,33.0,49.0,0.568364201
1,Bangalore,12.9716,77.5946,2023-03-12,31.8,15.9,24.1,56.7,0.0,18.5,1017.2,306.1,25.0,38.0,0.472646966
1,Bangalore,12.9716,77.5946,2023-03-13,32.3,17.9,25.2,56.4,0.0,16.5,1016.4,303.8,34.0,50.0,0.372070501
1,Bangalore,12.9716,77.5946,2023-03-14,32.1,18.9,25.7,48.3,0.0,17.5,1014.9,285.0,38.0,56.0,0.699805158
1,Bangalore,12.9716,77.5946,2023-03-15,32.9,18.9,26.1,54.3,0.0,14.9,1014.0,292.0,36.0,53.0,0.619099382
1,Bangalore,12.9716,77.5946,2023-03-16,31.1,21.0,24.8,72.6,1.1,18.4,1015.0,233.7,48.0,71.0,1.03600917
1,Bangalore,12.9716,77.5946,2023-03-17,30.6,20.0,24.3,78.1,7.065,27.6,1016.8,246.1,36.0,53.0,0.568964062
1,Bangalore,12.9716,77.5946,2023-03-18,30.3,20.0,24.2,75.0,0.104,18.0,1014.5,238.8,23.0,34.0,0.612376973
1,Bangalore,12.9716,77.5946,2023-03-19,31.8,20.0,25.7,59.5,1.0,22.4,1013.6,252.6,28.0,42.0,0.324027237
1,Bangalore,12.9716,77.5946,2023-03-20,30.9,20.0,25.8,52.9,0.0,23.9,1013.1,278.5,25.0,38.0,0.155958768
1,Bangalore,12.9716,77.5946,2023-03-21,32.3,19.9,25.8,43.2,0.0,17.9,1013.3,314.2,22.0,33.0,0.11166818
1,Bangalore,12.9716,77.5946,2023-03-22,33.0,19.0,26.4,52.1,0.0,10.8,1013.9,304.6,36.0,52.0,0.204036091
1,Bangalore,12.9716,77.5946,2023-03-23,33.0,21.0,26.9,58.8,0.0,18.2,1014.1,300.3,32.0,47.0,0.186410182
1,Bangalore,12.9716,77.5946,2023-03-24,33.9,22.0,27.3,59.1,0.0,18.3,1014.3,277.6,26.0,39.0,0.271275728
1,Bangalore,12.9716,77.5946,2023-03-25,31.7,22.0,26.5,63.2,0.1,18.4,1015.6,234.1,30.0,45.0,0.396062639
1,Bangalore,12.9716,77.5946,2023-03-26,32.6,21.0,27.2,58.2,0.0,11.2,1014.8,276.4,37.0,55.0,0.289385779
1,Bangalore,12.9716,77.5946,2023-03-27,34.0,21.0,27.5,47.6,0.199,16.6,1014.9,311.0,37.0,55.0,0.227656369
1,Bangalore,12.9716,77.5946,2023-03-28,34.6,21.9,28.0,45.9,0.0,11.2,1014.7,313.8,42.0,61.0,0.166124282
1,Bangalore,12.9716,77.5946,2023-03-29,32.1,23.0,26.9,64.0,0.011,13.0,1015.5,245.6,32.0,47.0,0.315556909
1,Bangalore,12.9716,77.5946,2023-03-30,32.3,21.1,26.7,59.8,0.0,20.2,1015.0,243.9,44.0,64.0,0.364391695
